Time,asks,bids,price
2017-12-05 16:29:00 UTC,5596993.74791498,4730359.89554619,11691.5
2017-12-05 16:30:00 UTC,5743949.11532427,4847964.65488924,11690.5
2017-12-05 16:31:00 UTC,5849895.63495121,4643062.82427022,11688.5
2017-12-05 16:32:00 UTC,5285467.59932666,4822260.6440274,11678.5
2017-12-05 16:33:00 UTC,3316562.23305188,3531301.78195593,11598.75
2017-12-05 16:34:00 UTC,2848603.98276355,6789178.48994753,11499.5
2017-12-05 16:35:00 UTC,2416193.28362067,3044912.85127725,11518.0
2017-12-05 16:36:00 UTC,2779552.54272169,2970933.9195441,11551.0
2017-12-05 16:37:00 UTC,3203889.62767734,3580473.94400488,11570.5
2017-12-05 16:38:00 UTC,3732127.5296651,3813478.3802224,11586.5
2017-12-05 16:39:00 UTC,3832199.41319275,3972121.86008936,11581.0
2017-12-05 16:40:00 UTC,3971989.79031302,4532430.64971661,11582.5
2017-12-05 16:41:00 UTC,4343353.36245059,4907557.2925571,11595.5
2017-12-05 16:42:00 UTC,4561372.20001664,4725486.01976803,11602.5
2017-12-05 16:43:00 UTC,3118881.4527952,4268952.2201906,11621.5
2017-12-05 16:44:00 UTC,4881366.95945667,2790666.05803378,11665.5
2017-12-05 16:45:00 UTC,4143827.71174292,4379766.22827077,11628.5
2017-12-05 16:46:00 UTC,4258772.0125484,5550127.10614978,11610.75
2017-12-05 16:47:00 UTC,4628986.02571041,5469369.10869339,11611.5
2017-12-05 16:48:00 UTC,4351945.85292538,5597510.74172322,11619.0
2017-12-05 16:49:00 UTC,4235082.84483242,5687868.54092253,11610.5
2017-12-05 16:50:00 UTC,3341519.08181405,5076484.56399869,11580.0
2017-12-05 16:51:00 UTC,4359293.52731285,4942958.43292894,11589.5
2017-12-05 16:52:00 UTC,4047536.88027761,3829980.10486371,11587.0
2017-12-05 16:53:00 UTC,2814454.53149623,3760900.60383461,11566.0
2017-12-05 16:54:00 UTC,3515296.08773767,3701705.98923142,11596.5
2017-12-05 16:55:00 UTC,3195347.5317842,4709809.9714239,11593.5
2017-12-05 16:56:00 UTC,3512272.11331184,5595147.3549095,11595.0
2017-12-05 16:57:00 UTC,3560862.63539568,5607700.59613395,11608.5
2017-12-05 16:58:00 UTC,3380237.75984446,5713011.34602714,11609.5
2017-12-05 16:59:00 UTC,4165583.93295855,6230138.5531061,11604.5
2017-12-05 17:00:00 UTC,4513129.02641967,6483294.80963431,11596.5
2017-12-05 17:01:00 UTC,4983800.34383966,4978554.3598283,11591.5
2017-12-05 17:02:00 UTC,6411331.30143537,6129837.98552693,11597.0
2017-12-05 17:03:00 UTC,8570432.65217599,6270262.21718586,11597.5
2017-12-05 17:04:00 UTC,13475245.9781804,6540272.85189073,11595.5
2017-12-05 17:05:00 UTC,13902307.9096333,5713007.9403392,11592.0
2017-12-05 17:06:00 UTC,7083823.24394781,2791872.93730982,11586.0
2017-12-05 17:07:00 UTC,7550053.02524278,3469245.5443228,11583.0
2017-12-05 17:08:00 UTC,2795283.30959075,3270241.56008599,11595.0
2017-12-05 17:09:00 UTC,3531173.64666848,2849470.29089423,11608.5
2017-12-05 17:10:00 UTC,4484864.76042524,3265467.13038968,11652.5
2017-12-05 17:11:00 UTC,4819479.64997659,3388213.72632049,11661.5
2017-12-05 17:12:00 UTC,4242025.32756072,3040541.63402159,11667.0
2017-12-05 17:13:00 UTC,4869610.77463053,2780130.72680923,11674.5
2017-12-05 17:14:00 UTC,4633786.38478007,3032051.54819858,11673.75
2017-12-05 17:15:00 UTC,4818088.2956201,2596858.2481031,11683.0
2017-12-05 17:16:00 UTC,4562375.06453272,2100483.77173258,11681.0
2017-12-05 17:17:00 UTC,5138575.15266833,2426808.92282535,11684.0
2017-12-05 17:18:00 UTC,5095843.05349095,2294498.11420185,11702.5
2017-12-05 17:19:00 UTC,4930583.17553863,2631763.66988322,11719.5
2017-12-05 17:20:00 UTC,5730274.50265242,2667052.37065194,11729.5
2017-12-05 17:21:00 UTC,6148061.44166163,2956344.309842,11736.5
2017-12-05 17:22:00 UTC,5921674.8525439,2894275.29529946,11741.5
2017-12-05 17:23:00 UTC,5863155.09208839,2708751.50397947,11727.5
2017-12-05 17:24:00 UTC,5869302.16828317,2572778.72422495,11715.5
2017-12-05 17:25:00 UTC,5629766.72757469,2607390.4170663,11707.75
2017-12-05 17:26:00 UTC,5204970.77838941,3204843.39117361,11704.5
2017-12-05 17:27:00 UTC,5471899.6714751,2854707.43318081,11701.5
2017-12-05 17:28:00 UTC,5330873.03986403,2766955.06486669,11703.5
2017-12-05 17:29:00 UTC,5029172.63555125,3126435.41870657,11696.5
2017-12-05 17:30:00 UTC,4811735.25840942,2958875.81636122,11699.0
2017-12-05 17:31:00 UTC,5203950.80951221,2908299.19206312,11709.0
2017-12-05 17:32:00 UTC,4927746.89867488,3095298.22952263,11693.0
2017-12-05 17:33:00 UTC,4284621.36169012,3241169.79657161,11679.5
2017-12-05 17:34:00 UTC,4756783.97670007,3424570.8175466,11674.5
2017-12-05 17:35:00 UTC,4686964.47456796,3099115.31747657,11689.5
2017-12-05 17:36:00 UTC,4596315.74337237,3150311.551927,11696.0
2017-12-05 17:37:00 UTC,5038850.62195794,3078781.69362373,11692.0
2017-12-05 17:38:00 UTC,4969135.36257434,3034956.88371723,11685.5
2017-12-05 17:39:00 UTC,4446268.24543722,3167035.6098608,11693.5
2017-12-05 17:40:00 UTC,4434707.79704202,2947907.10706506,11687.5
2017-12-05 17:41:00 UTC,4841208.80538009,3073489.94427224,11691.0
2017-12-05 17:42:00 UTC,5113372.4262299,3030085.30255379,11695.5
2017-12-05 17:43:00 UTC,4848692.93524843,2969425.77780136,11693.25
2017-12-05 17:44:00 UTC,5309319.50584695,2882692.93537859,11705.0
2017-12-05 17:45:00 UTC,5796214.95535997,2850161.35912534,11698.5
2017-12-05 17:46:00 UTC,5669034.91071457,2984027.37083113,11694.5
2017-12-05 17:47:00 UTC,5694735.96355588,2928004.97821028,11697.5
2017-12-05 17:48:00 UTC,6003544.77308402,2750613.35176674,11704.0
2017-12-05 17:49:00 UTC,5985786.60273374,2994280.8712176,11700.5
2017-12-05 17:50:00 UTC,5650506.04453919,2959810.54854877,11700.75
2017-12-05 17:51:00 UTC,5507841.42926839,2755779.73677374,11696.5
2017-12-05 17:52:00 UTC,8254610.75554941,3030949.4005734,11690.0
2017-12-05 17:53:00 UTC,4509563.18444628,3442301.74961658,11665.5
2017-12-05 17:54:00 UTC,4301165.84765586,3585630.52121531,11664.5
2017-12-05 17:55:00 UTC,4231532.05996424,3216557.3250554,11662.0
2017-12-05 17:56:00 UTC,3834271.79309995,3340730.97185041,11640.25
2017-12-05 17:57:00 UTC,3425068.18528938,3775901.13708897,11630.5
2017-12-05 17:58:00 UTC,2778221.75498164,4099695.84907918,11618.5
2017-12-05 17:59:00 UTC,2788054.23520452,4029937.74597695,11619.5
2017-12-05 18:00:00 UTC,2520348.5439776,5068737.52062243,11615.5
2017-12-05 18:01:00 UTC,2678853.006586,4924500.56847112,11603.5
2017-12-05 18:02:00 UTC,2619323.65408175,4146221.06554222,11617.5
2017-12-05 18:03:00 UTC,3222835.20256164,4219644.21619187,11631.0
2017-12-05 18:04:00 UTC,4358104.88055719,3096522.55842152,11664.0
2017-12-05 18:05:00 UTC,4679954.87185537,3126066.45954411,11680.5
2017-12-05 18:06:00 UTC,4581022.71543808,3481257.30422239,11667.5
2017-12-05 18:07:00 UTC,3968074.09485881,3596315.15095737,11662.0
2017-12-05 18:08:00 UTC,4457566.96639873,3357305.4912274,11676.25
2017-12-05 18:09:00 UTC,4756702.39039092,3588763.8482279,11672.0
2017-12-05 18:10:00 UTC,5069476.55765423,3450019.7020418,11676.5
2017-12-05 18:11:00 UTC,6414829.88908633,3141869.86573948,11692.5
2017-12-05 18:12:00 UTC,6254717.92828978,2994042.60845405,11697.0
2017-12-05 18:13:00 UTC,4565632.03700695,3495059.85293105,11680.0
2017-12-05 18:14:00 UTC,4599188.68067591,3491067.15975923,11670.25
2017-12-05 18:15:00 UTC,4745188.24841005,3438304.0079554,11677.5
